,gene.shannon,group,Time,species.shannon,metaphlan2.shannon
V1-102100092,11.7158393591222,2,base,1.80568062485302,2.8218394619228
V1-102100093,11.2631367175418,1,base,2.39955730374435,2.84227820964363
V1-102100094,11.7116786934952,2,base,1.6400109574316,2.35463136215987
V1-102100095,10.3663190986842,1,base,1.50616078688034,1.50764948300091
V1-102100096,11.6027786074798,1,base,2.27070612528235,2.84779868353458
V1-102100097,11.4078310272287,2,base,2.19145054902322,3.04912178806308
V1-102100098,11.02256094835,2,base,2.34596587297153,2.24165023302748
V1-102100099A,11.0563906896154,1,base,2.13176760513361,2.50332509508891
V1-102100100,10.9116941059005,1,base,1.77252446902312,1.84588865324224
V1-102100101,10.8538955231542,1,base,1.74949986214952,2.10914537926251
V1-102100102,12.0337186177194,1,base,2.10225401398213,2.99761598228128
V1-102100103,10.2812478435491,1,base,2.0092194820835,2.35167188456703
V5-102100001,9.75936471939491,1,w12,1.20902123777189,1.28053727986658
V5-102100002,10.6271050926051,1,w12,1.61896303970279,1.92286196240632
V5-102100003,11.0428277149556,1,w12,2.13359506934945,2.6575997947298
V5-102100004,11.6392299094552,2,w12,2.03899613811469,2.86355599873844
V5-102100005,10.8686642751059,2,w12,1.9952057681297,2.11649859710021
V5-102100006,10.7611939314949,2,w12,1.19164931953341,1.4599577193171
V5-102100007,11.5668000604842,2,w12,2.27733269290596,2.85201434681119
V5-102100008,9.62833218851769,1,w12,1.29330613362068,1.35733967730398
V5-102100009,11.6989571737948,2,w12,1.96549580948058,2.68205577452055
V5-102100010,11.5007387664933,1,w12,2.33442244777756,2.7972368015899
V5-102100013,10.8280709655405,2,w12,2.02254843132506,1.9426357632232
V5-102100014,11.0271667925837,2,w12,2.31191453724061,2.55145969723023
V5-102100016,9.40751615223305,1,w12,0.860866396678278,1.08731437649571
V5-102100017,9.94770381945469,1,w12,0.922445125395128,1.41188757765496
V5-102100018,9.92575976808614,1,w12,1.8487775886256,1.72597199791659
V5-102100019,10.1327912877151,1,w12,1.5715094054604,1.75740465381063
V5-102100020,11.3757041987555,2,w12,2.24555622622095,2.29549468591709
V5-102100021,9.25624370275812,1,w12,0.776301469478615,1.45920732516878
V5-102100022,10.7811666032296,1,w12,1.64702857291703,2.18621201006828
V5-102100023,10.0029700352817,2,w12,1.17404194198591,1.30604434255318
V5-102100025,10.9952585041573,1,w12,1.19190057194306,2.73926415246499
V5-102100026,10.9883080143546,2,w12,2.01335639484699,2.30968006480363
V5-102100027,11.6032626262099,2,w12,1.85064967523964,2.22142984323666
V5-102100028,11.294442154165,2,w12,2.20975037626813,2.44804749289205
V5-102100029,10.7509788466056,1,w12,2.10980647465169,1.87636762199304
V5-102100032,10.6911624338104,1,w12,1.72434402814888,1.60480153826071
V5-102100033,10.4451716219864,1,w12,1.50129881254103,1.92745609863535
V5-102100034,11.6296029301579,2,w12,2.04473855229169,2.57871594981673
V5-102100035,9.34101174336641,1,w12,0.671819127489065,0.987281442009648
V5-102100036,10.2065003483712,1,w12,1.20570661640168,1.92861606324206
V5-102100037,10.6545919402956,2,w12,1.28340528173565,1.82642924774312
V5-102100038,11.2005916012867,2,w12,1.98668671541294,2.48989626006195
V5-102100039,11.6348540662289,2,w12,1.93100986517995,2.61631034773992
V5-102100040,11.6889501793668,2,w12,2.32865151555607,2.68984482819591
V5-102100041,11.9323896568661,2,w12,2.06337943723027,3.05026659303605
V5-102100042A,10.6668841186828,1,w12,1.23520747876005,2.23460739159683
V5-102100043,11.0239473144642,2,w12,1.69403896095706,2.06321039753158
V5-102100044,10.651935567208,2,w12,1.7119030085776,1.79741379223374
V5-102100045A,10.2074368152175,1,w12,1.87489693213311,1.90688727605681
V5-102100046,11.3946767448641,1,w12,1.82035140603503,2.73117693190001
V5-102100047,10.8714413221296,1,w12,2.06391902281353,2.09103418993098
V5-102100048,10.9135462051326,1,w12,1.93662464864195,2.40497373930958
V5-102100049,11.5462265879024,2,w12,2.15600947626882,2.6291180950237
V5-102100050,12.0535582648602,2,w12,1.92619027217263,2.97895111280165
V5-102100051,10.3071511740902,1,w12,1.29079230716034,1.88603487895434
V5-102100052,10.9504189702079,1,w12,1.52802155619988,1.62380496813779
V5-102100053A,10.2549735105891,1,w12,2.21669716951992,2.2174794121145
V5-102100054,11.3378214584238,2,w12,1.89394316013941,2.43101004726405
V5-102100055,10.7430687248202,1,w12,1.18270502553047,1.78422021774846
V5-102100057,10.9520515581497,2,w12,2.46174074370401,2.3101291935299
V5-102100059,11.5369662598272,2,w12,1.79031038283901,2.29133787724054
V5-102100060,11.7284214694031,2,w12,2.28273838265471,2.97237736381436
V5-102100061,11.7360090010309,2,w12,2.04833874705397,2.70596074560687
V5-102100062,11.6082367479964,1,w12,2.59890591961203,2.86117945565734
V5-102100063,11.0663000449318,1,w12,1.74972880314549,2.36211449021182
V5-102100064,10.7108832679561,1,w12,2.11119381913445,2.2422931623456
V5-102100065,10.45747260071,2,w12,1.18937552985012,1.6427851260563
V5-102100067,10.420962477654,2,w12,1.34935097087976,2.00214269312823
V5-102100068A,11.3878470817073,2,w12,2.19236101471497,2.5719331823301
V5-102100069,10.843443878632,2,w12,1.21369192844609,1.54857476614174
V5-102100072,10.593093688822,1,w12,1.21965526406126,2.11204393521543
V5-102100073,10.8108276458264,1,w12,1.5742042568466,1.92677120914685
V5-102100075,10.5828043382836,1,w12,1.56978079542799,2.06800218953157
V5-102100076,11.510139987064,2,w12,2.01804756814048,2.29530488239438
V5-102100077A,11.155834861677,1,w12,1.62391671786541,1.85977612763685
V5-102100078A,11.2892672102379,2,w12,2.25693611840294,2.66332886777977
V5-102100079,10.95154659298,2,w12,1.9599295677615,2.27483454398027
V5-102100081,10.4312780242905,2,w12,1.47721623673131,1.52444640479901
V5-102100082,10.5847127807233,2,w12,1.93503702592078,2.34366965771067
V5-102100083,11.7533402435223,1,w12,2.62008207053156,2.85421554878254
V5-102100084,10.3373863183102,2,w12,1.41215018217011,1.37930831955256
V5-102100085,11.8904600104113,1,w12,1.95941034980727,2.93139573517112
V5-102100086,10.2941665995115,1,w12,2.02562550090298,1.70437690885474
V5-102100087,11.0123859966856,1,w12,1.82573996240161,1.99776213515395
V5-102100088,11.7693326580271,2,w12,2.15083045063145,2.62618237963506
V5-102100089,11.8513821952108,2,w12,2.34288520581952,2.92608140683975
V5-102100090,9.5527553548698,1,w12,1.13121473814905,1.14161015141813
V5-102100091,10.9998646240721,2,w12,2.03017881236252,2.22545170291135
V5-102100092,11.5065957718247,2,w12,1.91130187549633,2.51816615567317
V5-102100094,12.2460092639803,2,w12,1.64326532957081,2.5213311719508
V5-102100096A,10.9237277244191,1,w12,1.27278453973125,2.5105460370433
V5-102100097,11.7203342666971,2,w12,2.05089979074624,3.07591971462845
V5-102100098,11.6539520252875,2,w12,2.27025185281494,2.4982922650728
V5-102100100,10.0254965558964,1,w12,1.32011148667138,1.55607056542394
V5-102100101,11.6949832454165,1,w12,2.25256808792104,2.81072871743672
V5-102100102,12.1943605571928,1,w12,2.04517071986296,3.12577795316211
V5-102100103A,11.3514678130223,1,w12,1.6619443071047,2.8050479363173
V8-102100001,10.40607566918,1,w24,1.81116149423985,1.97038329995841
V8-102100002,12.3396545229815,1,w24,1.97550252045309,3.12530241724378
V8-102100003A,10.423089130765,1,w24,1.64514909047153,2.20678033893587
V8-102100004,12.1528984419989,2,w24,2.09930466314968,3.03222953016538
V8-102100005,11.8984592695326,2,w24,2.27867263511044,3.03918196734149
V8-102100006,10.8191541005534,2,w24,1.25943520190927,1.72767391820603
V8-102100007,12.0536836352506,2,w24,2.26276692404505,3.09737383220529
V8-102100008,10.0599012022071,1,w24,1.18239807791164,1.55598644473496
V8-102100009,11.1607024121961,2,w24,1.68024737393886,2.16086229192633
V8-102100013,10.3580499365843,2,w24,1.93872651944034,1.66778124902036
V8-102100014,11.8895627443582,2,w24,2.21838152006373,2.57474703687138
V8-102100015A,10.1842650007643,1,w24,2.23793492910489,2.16616446938011
V8-102100016,9.92884689120444,1,w24,1.57215467956244,1.58162558315495
V8-102100017,9.70493130447845,1,w24,1.244079692391,1.59981105748294
V8-102100018,10.4997756678957,1,w24,2.07843487765671,2.01070664730848
V8-102100019,10.9258893276053,1,w24,2.08593418591879,2.89779718559599
V8-102100021,10.1895539409531,1,w24,1.39431016028231,1.44213858653669
V8-102100023,10.4887017085434,2,w24,1.60308930979111,1.71990767276295
V8-102100024,10.8542953332301,1,w24,1.47636478171303,2.00886603354924
V8-102100025,10.4700312296023,1,w24,1.0962147511929,2.49484138727285
V8-102100026,11.6723011979052,2,w24,2.03753039209515,2.89730659927823
V8-102100027,11.8288611934891,2,w24,2.12006101129755,2.81034749108932
V8-102100028,10.8974123010685,2,w24,2.26111713808764,2.41759465669916
V8-102100029,11.2932217686141,1,w24,1.86716544485222,2.42158979611165
V8-102100031A,9.35174477153456,1,w24,1.5631115618049,1.38800902563793
V8-102100032,10.0978218871398,1,w24,1.21357098701661,1.25217175861059
V8-102100033,11.0100118959637,1,w24,1.74432955377349,2.0756326882941
V8-102100034,11.8928182788233,2,w24,1.92437386868509,2.84277690440865
V8-102100035A,10.2428544515095,1,w24,1.77544624471084,1.94155363228146
V8-102100036,11.0876306762885,1,w24,1.76332740798573,2.54983702638313
V8-102100037,11.1982621735638,2,w24,1.97235576845504,2.10390526061369
V8-102100038,11.4275261702746,2,w24,1.76248490721997,2.66734847238443
V8-102100039,11.6017913100964,2,w24,1.75355350320406,2.59165954804498
V8-102100040,11.6203070142105,2,w24,2.41053053770843,2.74570291093086
V8-102100041,12.5809506572367,2,w24,1.84864907126904,3.4217145385259
V8-102100042A,10.9578975460198,1,w24,2.06986283071435,2.44708026986964
V8-102100043,10.0538098477085,2,w24,1.05803214068097,1.50902315994235
V8-102100044,10.6851707218599,2,w24,1.61417921340841,1.84703581628094
V8-102100045A,10.1419150682869,1,w24,1.64121765705521,1.73066448801846
V8-102100046,10.6323243315245,1,w24,1.80599515262462,2.2829493853882
V8-102100047,11.0123855722161,1,w24,2.22350488717358,2.18873161738786
V8-102100048,11.0191195435075,1,w24,2.27556332765064,2.13698062111144
V8-102100049,12.0216724910809,2,w24,1.98646672416703,2.93337348520954
V8-102100050,11.6514482595639,2,w24,2.14688228584698,2.75070828413706
V8-102100051,11.2165491915534,1,w24,2.15428590717134,2.55712884962292
V8-102100052,10.5423505850198,1,w24,1.40519395762678,1.35738150505517
V8-102100053A,10.1909223934671,1,w24,1.9910210928504,2.44276205642811
V8-102100054,11.1369018775639,2,w24,2.23512676567925,2.38104502807203
V8-102100055,10.2477183504453,1,w24,0.928018992299211,1.29510988269592
V8-102100057,11.3416689785031,2,w24,2.55675493795286,2.4837451702911
V8-102100059,11.5549871644858,2,w24,2.00206247417753,2.39351894748845
V8-102100061,11.7946949718111,2,w24,1.27658394346725,2.76511372978325
V8-102100062,9.81304541143827,1,w24,1.50664383224723,1.09064799213714
V8-102100065,10.5374901682722,2,w24,1.37767312558756,1.94374364531127
V8-102100066,10.7472607103549,1,w24,1.92729997775935,2.17836413194972
V8-102100067,10.1837723838836,2,w24,1.25858723779373,1.93555786053401
V8-102100068,10.8563946796419,2,w24,2.09714907885031,2.47342585015393
V8-102100069,11.0856231841651,2,w24,1.26073335396189,1.86171983397341
V8-102100070A,10.5908017619952,1,w24,1.66103961518529,2.43288887976912
V8-102100072A,10.7233534730559,1,w24,1.60783742428122,2.10901934319469
V8-102100073,10.8389317135291,1,w24,1.38301217345153,2.26860223432814
V8-102100074,12.139503125865,2,w24,1.79808196254405,3.13298785815357
V8-102100075,10.0513891640574,1,w24,1.44262406828446,1.53474421734881
V8-102100076A,11.9629929890962,2,w24,2.0300955690669,3.14287515209582
V8-102100079,10.9669559881651,2,w24,1.52249729410276,1.71763014734803
V8-102100082,10.3910350400236,2,w24,1.98339430708476,2.54317001917667
V8-102100083,11.3608845423966,1,w24,2.36834405103025,2.643494772271
V8-102100084,10.4626507039751,2,w24,1.39446030044914,1.65959853397386
V8-102100085,11.0085301571046,1,w24,1.66721866450264,2.2239552693936
V8-102100086,10.1178368396425,1,w24,1.8031877268051,1.44624481256219
V8-102100087,9.49858186729458,1,w24,1.69136750578635,0.658398210366067
V8-102100088A,10.8916997846196,2,w24,1.66156518986029,2.10707961109958
V8-102100089,11.0277261013437,2,w24,1.39330013862461,1.93574347318483
V8-102100090,10.0621671281541,1,w24,1.38396472651939,1.45877507089642
V8-102100091,11.0372023438187,2,w24,2.14440774192896,2.3009048267182
V8-102100092,11.4947046139365,2,w24,2.03030510988014,2.62378488778116
V8-102100093,11.4067385394141,1,w24,2.11288494004719,2.70143749941556
V8-102100094,12.2642250320892,2,w24,1.55754067375032,2.8293320601929
V8-102100096A,10.9629090059289,1,w24,1.95895901797178,2.23805355599008
V8-102100097,11.0854409605928,2,w24,1.65730928809686,2.42804672751036
V8-102100098,11.7070306462609,2,w24,2.23874621454402,2.72454588865696
V8-102100099A,10.8587795262555,1,w24,1.53548618425566,1.93043970749554
V8-102100100,10.5547935865407,1,w24,1.37767882629808,2.19646822039846
V8-102100101,11.7807407541859,1,w24,2.14665994454469,2.80222463511048
V8-102100102,11.8644432200948,1,w24,2.45857453327189,2.9513723314871
V8-102100103,11.2037894702301,1,w24,2.26183807499268,2.19811555576989
